Istasyon_No,İl,Istasyon_Adi,datetime,ORTALAMA_SICAKLIK_°C,t2m_min,t2m_avg,t2m_max
17372,Hatay,Antakya,1994-01-01,10.5,6.3722625,9.674103,13.8334675
17372,Hatay,Antakya,1994-02-01,9.8,5.155581,9.135956,13.272849
17372,Hatay,Antakya,1994-03-01,14.1,8.0384035,12.259827,16.954649
17372,Hatay,Antakya,1994-04-01,18.9,13.023183,18.211945,23.71494
17372,Hatay,Antakya,1994-05-01,21.8,15.885092,20.88388,26.360939
17372,Hatay,Antakya,1994-06-01,25.0,18.161978,23.426971,28.971083
17372,Hatay,Antakya,1994-07-01,26.7,20.97185,25.078064,29.84959
17372,Hatay,Antakya,1994-08-01,27.3,21.597464,26.334076,32.01079
17372,Hatay,Antakya,1994-09-01,27.5,22.51231,27.46466,33.51027
17372,Hatay,Antakya,1994-10-01,23.8,18.712643,23.243317,28.529726
17372,Hatay,Antakya,1994-11-01,14.3,9.829651,13.198273,16.940435
17372,Hatay,Antakya,1994-12-01,7.1,3.3909607,6.6457214,10.220974
17372,Hatay,Antakya,1995-01-01,9.4,5.9152036,9.054565,12.64073
17372,Hatay,Antakya,1995-02-01,12.2,6.266861,10.360321,15.138214
17372,Hatay,Antakya,1995-03-01,13.5,8.07879,12.368439,17.086359
17372,Hatay,Antakya,1995-04-01,16.6,10.059357,15.011322,20.13094
17372,Hatay,Antakya,1995-05-01,22.1,15.408041,20.753143,26.555597
17372,Hatay,Antakya,1995-06-01,25.5,18.930256,23.939636,29.116991
17372,Hatay,Antakya,1995-07-01,27.0,21.434637,25.71054,30.493696
17372,Hatay,Antakya,1995-08-01,28.1,22.027931,26.366058,31.578932
17372,Hatay,Antakya,1995-09-01,25.2,20.02219,24.181488,29.328148
17372,Hatay,Antakya,1995-10-01,20.2,15.464854,20.076202,25.61601
17372,Hatay,Antakya,1995-11-01,11.8,6.627436,10.833221,15.60528
17372,Hatay,Antakya,1995-12-01,8.9,3.896503,7.7130127,12.095769
17372,Hatay,Antakya,1996-01-01,8.7,4.424409,7.7441406,11.361142
17372,Hatay,Antakya,1996-02-01,10.8,5.5279636,9.433746,13.819548
17372,Hatay,Antakya,1996-03-01,12.4,7.6929684,11.187592,15.196442
17372,Hatay,Antakya,1996-04-01,15.6,9.809398,14.273743,18.961018
17372,Hatay,Antakya,1996-05-01,22.3,15.326136,20.86325,26.462059
17372,Hatay,Antakya,1996-06-01,25.6,18.92079,24.121124,29.80995
17372,Hatay,Antakya,1996-07-01,27.6,20.92662,26.066406,31.814236
17372,Hatay,Antakya,1996-08-01,28.1,21.443907,26.265106,31.853197
17372,Hatay,Antakya,1996-09-01,25.5,19.520334,23.388184,28.217642
17372,Hatay,Antakya,1996-10-01,19.5,15.230723,18.77945,23.27823
17372,Hatay,Antakya,1996-11-01,15.2,10.08071,14.446014,19.646832
17372,Hatay,Antakya,1996-12-01,12.3,8.848833,11.645813,15.102943
17372,Hatay,Antakya,1997-01-01,9.2,4.8455005,8.535797,12.616277
17372,Hatay,Antakya,1997-02-01,7.5,3.6876972,7.5916443,11.846185
17372,Hatay,Antakya,1997-03-01,10.8,5.7580714,9.880707,14.092571
17372,Hatay,Antakya,1997-04-01,14.9,8.94552,13.46933,18.118212
17372,Hatay,Antakya,1997-05-01,22.1,15.348778,20.689728,26.440449
17372,Hatay,Antakya,1997-06-01,24.9,18.567919,23.607697,28.861506
17372,Hatay,Antakya,1997-07-01,27.8,21.33235,26.295013,31.746113
17372,Hatay,Antakya,1997-08-01,26.5,21.187283,24.691193,28.982033
17372,Hatay,Antakya,1997-09-01,24.0,18.843885,23.510223,29.107126
17372,Hatay,Antakya,1997-10-01,20.2,15.949017,19.953522,24.46848
17372,Hatay,Antakya,1997-11-01,15.0,9.92744,13.772369,18.412401
17372,Hatay,Antakya,1997-12-01,10.3,6.795289,9.7500305,13.18692
17372,Hatay,Antakya,1998-01-01,7.8,4.4059043,7.518341,11.087901
17372,Hatay,Antakya,1998-02-01,9.9,4.2884803,8.7708435,13.437339
17372,Hatay,Antakya,1998-03-01,12.2,7.2626195,11.17627,15.368443
17372,Hatay,Antakya,1998-04-01,18.2,11.848721,16.78775,22.107313
17372,Hatay,Antakya,1998-05-01,21.1,15.427572,20.294373,25.230717
