Istasyon_No,İl,Istasyon_Adi,datetime,ORTALAMA_SICAKLIK_°C,t2m_min,t2m_avg,t2m_max
17310,Antalya,Alanya,1994-01-01,13.3,4.941921,8.580353,12.670208
17310,Antalya,Alanya,1994-02-01,12.5,2.9766333,6.921112,11.375222
17310,Antalya,Alanya,1994-03-01,14.4,5.0459485,9.587952,13.889581
17310,Antalya,Alanya,1994-04-01,18.5,9.169651,14.786163,19.534803
17310,Antalya,Alanya,1994-05-01,21.6,12.054052,18.049896,22.42866
17310,Antalya,Alanya,1994-06-01,25.1,16.077236,22.262909,26.825495
17310,Antalya,Alanya,1994-07-01,27.3,19.549635,25.085876,29.337894
17310,Antalya,Alanya,1994-08-01,28.9,19.6939,25.839935,30.771574
17310,Antalya,Alanya,1994-09-01,27.8,18.893147,24.574036,29.661016
17310,Antalya,Alanya,1994-10-01,24.1,15.432888,19.712067,24.429998
17310,Antalya,Alanya,1994-11-01,15.9,7.925647,11.167023,14.973843
17310,Antalya,Alanya,1994-12-01,12.1,3.1223075,6.5402527,10.23344
17310,Antalya,Alanya,1995-01-01,12.6,4.2892985,7.249878,10.556281
17310,Antalya,Alanya,1995-02-01,13.2,3.6455197,8.100555,12.803044
17310,Antalya,Alanya,1995-03-01,14.5,5.237213,9.485626,13.613332
17310,Antalya,Alanya,1995-04-01,16.1,6.3450093,11.782806,16.33836
17310,Antalya,Alanya,1995-05-01,21.2,11.967863,17.604706,21.92317
17310,Antalya,Alanya,1995-06-01,26.0,16.689663,22.931824,27.44903
17310,Antalya,Alanya,1995-07-01,28.4,18.49905,24.626556,29.188566
17310,Antalya,Alanya,1995-08-01,28.9,20.248886,25.305511,29.546272
17310,Antalya,Alanya,1995-09-01,26.2,17.792511,22.374847,26.749908
17310,Antalya,Alanya,1995-10-01,21.8,11.547279,16.607452,21.675596
17310,Antalya,Alanya,1995-11-01,14.9,5.181828,9.048065,13.067877
17310,Antalya,Alanya,1995-12-01,13.6,4.4641013,7.8360596,11.713807
17310,Antalya,Alanya,1996-01-01,11.2,1.8335296,5.642578,9.977991
17310,Antalya,Alanya,1996-02-01,13.5,3.7366986,7.6583557,11.770972
17310,Antalya,Alanya,1996-03-01,13.8,4.308715,8.472748,12.494458
17310,Antalya,Alanya,1996-04-01,16.2,6.3775697,11.349915,15.533697
17310,Antalya,Alanya,1996-05-01,22.3,13.183699,18.648407,22.905537
17310,Antalya,Alanya,1996-06-01,25.8,15.658641,22.433624,27.224102
17310,Antalya,Alanya,1996-07-01,28.2,20.796446,26.160156,30.359457
17310,Antalya,Alanya,1996-08-01,28.7,20.377405,25.59909,29.773293
17310,Antalya,Alanya,1996-09-01,25.6,16.156622,20.956543,25.09838
17310,Antalya,Alanya,1996-10-01,20.7,11.589264,16.099762,20.336515
17310,Antalya,Alanya,1996-11-01,18.7,8.697801,13.467499,18.459576
17310,Antalya,Alanya,1996-12-01,15.3,6.9780226,10.073547,13.529268
17310,Antalya,Alanya,1997-01-01,13.9,3.3853672,7.5611877,12.422547
17310,Antalya,Alanya,1997-02-01,11.4,1.7871115,5.7791443,10.114357
17310,Antalya,Alanya,1997-03-01,13.2,2.7325509,7.368988,11.871664
17310,Antalya,Alanya,1997-04-01,14.8,4.942847,9.865814,14.027749
17310,Antalya,Alanya,1997-05-01,21.8,12.285072,18.19754,22.628752
17310,Antalya,Alanya,1997-06-01,25.9,16.062286,21.896759,26.30973
17310,Antalya,Alanya,1997-07-01,29.7,19.24487,25.425873,30.207476
17310,Antalya,Alanya,1997-08-01,27.9,18.976385,23.574005,27.416594
17310,Antalya,Alanya,1997-09-01,26.1,15.282273,20.906708,25.840223
17310,Antalya,Alanya,1997-10-01,21.2,12.638084,16.580475,20.54955
17310,Antalya,Alanya,1997-11-01,17.3,8.357802,12.512604,17.064915
17310,Antalya,Alanya,1997-12-01,13.6,5.5980744,8.681671,12.13458
17310,Antalya,Alanya,1998-01-01,12.5,2.4773462,6.3542786,10.70983
17310,Antalya,Alanya,1998-02-01,13.3,2.8934991,7.667328,12.688324
17310,Antalya,Alanya,1998-03-01,13.6,3.616269,8.061035,12.332539
17310,Antalya,Alanya,1998-04-01,18.4,8.908632,14.207672,18.875868
17310,Antalya,Alanya,1998-05-01,21.1,12.351935,17.251404,21.044659
17310,Antalya,Alanya,1998-06-01,26.1,16.3569,22.272003,26.672655
17310,Antalya,Alanya,1998-07-01,29.2,20.525183,26.383148,30.952751
17310,Antalya,Alanya,1998-08-01,30.4,21.555668,27.042633,31.839266
17310,Antalya,Alanya,1998-09-01,26.9,17.555931,22.368164,26.680199
17310,Antalya,Alanya,1998-10-01,23.1,13.487048,18.583282,23.624374
17310,Antalya,Alanya,1998-11-01,18.6,9.851024,13.474701,17.513792
17310,Antalya,Alanya,1998-12-01,14.2,5.4761558,8.9600525,12.790617
17310,Antalya,Alanya,1999-01-01,13.8,4.651756,8.023224,11.918121
17310,Antalya,Alanya,1999-02-01,13.0,3.4693692,7.4323425,11.410936
17310,Antalya,Alanya,1999-03-01,14.8,5.043247,9.741669,14.377263
17310,Antalya,Alanya,1999-04-01,17.7,7.619855,13.191193,17.847239
17310,Antalya,Alanya,1999-05-01,22.6,12.936944,19.192871,23.885872
17310,Antalya,Alanya,1999-06-01,26.2,16.583721,22.463867,26.766453
17310,Antalya,Alanya,1999-07-01,29.1,19.945583,25.578705,30.039736
17310,Antalya,Alanya,1999-08-01,29.9,20.896606,25.659943,29.70368
17310,Antalya,Alanya,1999-09-01,26.9,17.079075,22.319763,26.969114
17310,Antalya,Alanya,1999-10-01,23.6,13.791035,18.55545,23.0448
17310,Antalya,Alanya,1999-11-01,18.2,8.024608,12.562225,17.370676
17310,Antalya,Alanya,1999-12-01,15.1,5.753712,9.997284,14.441551
17310,Antalya,Alanya,2000-01-01,10.0,0.42523587,3.943634,7.815153
17310,Antalya,Alanya,2000-02-01,11.8,1.9377788,5.785553,10.115462
17310,Antalya,Alanya,2000-03-01,13.3,3.0909364,8.053101,12.812597
17310,Antalya,Alanya,2000-04-01,17.6,8.805841,13.507721,17.598656
17310,Antalya,Alanya,2000-05-01,21.4,11.940843,17.44516,21.83417
17310,Antalya,Alanya,2000-06-01,26.6,17.078432,23.17633,28.000225
17310,Antalya,Alanya,2000-07-01,28.9,21.00954,26.943695,31.773167
17310,Antalya,Alanya,2000-08-01,29.0,20.42006,25.422699,29.928534
17310,Antalya,Alanya,2000-09-01,27.2,17.295929,22.068726,26.605995
17310,Antalya,Alanya,2000-10-01,22.6,12.354424,16.880035,21.685085
17310,Antalya,Alanya,2000-11-01,19.4,8.726015,13.366699,18.747826
17310,Antalya,Alanya,2000-12-01,14.6,5.0751085,8.686188,12.961114
17310,Antalya,Alanya,2001-01-01,13.4,4.076978,8.226471,12.538089
17310,Antalya,Alanya,2001-02-01,12.5,3.3458786,7.529175,12.10522
17310,Antalya,Alanya,2001-03-01,17.2,7.715319,13.019196,17.649796
17310,Antalya,Alanya,2001-04-01,18.3,8.823167,13.682343,17.957891
17310,Antalya,Alanya,2001-05-01,21.7,12.864828,17.998383,22.158396
17310,Antalya,Alanya,2001-06-01,25.4,17.027431,22.904846,27.201048
17310,Antalya,Alanya,2001-07-01,28.4,20.49538,25.994476,30.184456
17310,Antalya,Alanya,2001-08-01,29.2,20.874334,25.73526,29.721706
17310,Antalya,Alanya,2001-09-01,26.7,17.277496,22.355743,26.82468
17310,Antalya,Alanya,2001-10-01,22.5,12.508304,17.662811,22.897205
17310,Antalya,Alanya,2001-11-01,15.9,8.165299,11.740204,15.451593
17310,Antalya,Alanya,2001-12-01,13.2,5.230943,8.036957,10.762918
17310,Antalya,Alanya,2002-01-01,11.0,1.1038444,4.7134094,9.244509
17310,Antalya,Alanya,2002-02-01,14.5,4.245697,9.133392,14.508532
17310,Antalya,Alanya,2002-03-01,15.6,5.938007,10.849731,15.682675
17310,Antalya,Alanya,2002-04-01,17.1,8.041949,12.611969,16.61975
17310,Antalya,Alanya,2002-05-01,21.4,11.542373,17.108765,21.299723
17310,Antalya,Alanya,2002-06-01,25.8,16.246286,22.427887,26.96708
17310,Antalya,Alanya,2002-07-01,29.1,19.860434,25.156403,29.469912
17310,Antalya,Alanya,2002-08-01,28.8,20.141905,24.868439,29.170147
17310,Antalya,Alanya,2002-09-01,26.2,16.730223,21.610199,25.973598
17310,Antalya,Alanya,2002-10-01,22.7,13.618191,18.335693,23.182055
17310,Antalya,Alanya,2002-11-01,18.6,8.785382,13.334381,18.40117
17310,Antalya,Alanya,2002-12-01,13.0,3.8025937,7.0123596,10.66577
17310,Antalya,Alanya,2003-01-01,14.4,5.716524,8.965729,12.419146
17310,Antalya,Alanya,2003-02-01,11.2,1.9673659,5.0694885,8.737178
17310,Antalya,Alanya,2003-03-01,13.2,3.5109913,7.5925903,11.805045
17310,Antalya,Alanya,2003-04-01,17.3,7.6739807,12.650818,16.780613
17310,Antalya,Alanya,2003-05-01,23.5,13.828364,19.471039,24.450758
17310,Antalya,Alanya,2003-06-01,26.0,16.33749,22.250519,26.75742
17310,Antalya,Alanya,2003-07-01,29.2,19.09533,25.57779,30.162634
17310,Antalya,Alanya,2003-08-01,29.6,20.16138,25.828339,30.636927
17310,Antalya,Alanya,2003-09-01,26.2,16.587694,21.603851,26.258137
17310,Antalya,Alanya,2003-10-01,23.0,13.23311,18.118073,22.721518
17310,Antalya,Alanya,2003-11-01,18.1,8.01782,12.421356,17.569822
17310,Antalya,Alanya,2003-12-01,14.1,4.4689555,8.119965,12.140951
17310,Antalya,Alanya,2004-01-01,12.0,2.5680335,5.8548584,9.161752
17310,Antalya,Alanya,2004-02-01,12.3,1.7824486,6.4391785,10.8697405
17310,Antalya,Alanya,2004-03-01,15.4,5.214815,10.536896,15.683904
17310,Antalya,Alanya,2004-04-01,17.6,7.9158506,13.155731,17.692015
17310,Antalya,Alanya,2004-05-01,21.0,11.477975,17.316986,21.675478
17310,Antalya,Alanya,2004-06-01,25.1,16.569147,22.414734,26.721767
17310,Antalya,Alanya,2004-07-01,28.5,19.800674,25.891144,30.99594
17310,Antalya,Alanya,2004-08-01,28.3,19.870813,24.697174,28.983805
17310,Antalya,Alanya,2004-09-01,26.7,16.755262,22.468475,27.87818
17310,Antalya,Alanya,2004-10-01,23.6,13.796012,19.043793,24.457775
17310,Antalya,Alanya,2004-11-01,17.6,8.41289,12.299042,16.69767
17310,Antalya,Alanya,2004-12-01,13.5,4.3354087,8.14917,12.566692
17310,Antalya,Alanya,2005-01-01,12.9,3.836232,7.6009827,11.843091
17310,Antalya,Alanya,2005-02-01,12.4,2.7904587,6.6262207,10.389705
17310,Antalya,Alanya,2005-03-01,15.1,5.046232,10.024811,14.570449
17310,Antalya,Alanya,2005-04-01,17.5,8.597988,13.705597,18.28233
17310,Antalya,Alanya,2005-05-01,21.5,11.827553,17.590668,21.907719
17310,Antalya,Alanya,2005-06-01,25.2,15.102586,21.219757,25.586636
17310,Antalya,Alanya,2005-07-01,28.2,19.591139,25.358337,29.685284
17310,Antalya,Alanya,2005-08-01,28.8,20.507967,25.4021,29.6288
17310,Antalya,Alanya,2005-09-01,26.8,16.490437,21.995087,27.127113
17310,Antalya,Alanya,2005-10-01,21.8,11.101282,16.047028,21.176966
17310,Antalya,Alanya,2005-11-01,15.8,6.432155,10.6059265,15.308494
17310,Antalya,Alanya,2005-12-01,14.2,5.120258,9.155731,13.665199
17310,Antalya,Alanya,2006-01-01,11.7,2.2106059,6.093109,10.419098
17310,Antalya,Alanya,2006-02-01,12.6,3.6591601,7.473114,11.42106
17310,Antalya,Alanya,2006-03-01,14.7,5.1627584,9.710785,13.853306
17310,Antalya,Alanya,2006-04-01,18.6,8.826056,13.947174,18.442421
17310,Antalya,Alanya,2006-05-01,21.6,11.557502,17.5,21.800383
17310,Antalya,Alanya,2006-06-01,25.3,16.68325,22.519135,26.817787
17310,Antalya,Alanya,2006-07-01,28.4,18.918201,24.75174,29.181416
17310,Antalya,Alanya,2006-08-01,28.9,21.534554,25.936554,30.012037
