Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
8498,GUNDOGMUS,1984,1,6.2
8498,GUNDOGMUS,1984,2,6.7
8498,GUNDOGMUS,1984,3,7.6
8498,GUNDOGMUS,1984,4,9.8
8498,GUNDOGMUS,1984,5,18.9
8498,GUNDOGMUS,1984,6,22.5
8498,GUNDOGMUS,1984,7,25.6
8498,GUNDOGMUS,1984,8,22.9
8498,GUNDOGMUS,1984,9,21.7
8498,GUNDOGMUS,1984,10,18.4
8498,GUNDOGMUS,1984,11,9.9
8498,GUNDOGMUS,1984,12,5.9
8498,GUNDOGMUS,1984,13,14.7
8498,GUNDOGMUS,1985,1,6.6
8498,GUNDOGMUS,1985,2,2.6
8498,GUNDOGMUS,1985,3,8.0
8498,GUNDOGMUS,1985,4,12.7
8498,GUNDOGMUS,1985,5,18.6
8498,GUNDOGMUS,1985,6,22.2
8498,GUNDOGMUS,1985,7,25.3
8498,GUNDOGMUS,1985,8,26.8
8498,GUNDOGMUS,1985,9,21.7
8498,GUNDOGMUS,1985,10,13.6
8498,GUNDOGMUS,1985,11,12.6
8498,GUNDOGMUS,1985,12,7.5
8498,GUNDOGMUS,1985,13,14.9
17310,ALANYA,1952,1,12.0
17310,ALANYA,1952,2,12.3
17310,ALANYA,1952,3,12.3
17310,ALANYA,1952,4,16.7
17310,ALANYA,1952,5,19.8
17310,ALANYA,1952,6,24.2
17310,ALANYA,1952,7,26.7
17310,ALANYA,1952,8,28.1
17310,ALANYA,1952,9,26.4
17310,ALANYA,1952,10,21.1
17310,ALANYA,1952,11,16.4
17310,ALANYA,1952,12,14.6
17310,ALANYA,1952,13,19.2
17310,ALANYA,1953,1,12.1
17310,ALANYA,1953,2,12.2
17310,ALANYA,1953,3,10.6
17310,ALANYA,1953,4,16.4
17310,ALANYA,1953,5,19.9
17310,ALANYA,1953,6,24.4
17310,ALANYA,1953,7,28.0
17310,ALANYA,1953,8,27.7
17310,ALANYA,1953,9,24.3
17310,ALANYA,1953,10,20.5
17310,ALANYA,1953,11,14.2
17310,ALANYA,1953,12,10.5
17310,ALANYA,1953,13,18.4
17310,ALANYA,1954,1,10.2
17310,ALANYA,1954,2,11.4
17310,ALANYA,1954,3,13.9
17310,ALANYA,1954,4,15.6
17310,ALANYA,1954,5,19.4
17310,ALANYA,1954,6,25.1
17310,ALANYA,1954,7,28.1
17310,ALANYA,1954,8,27.9
17310,ALANYA,1954,9,25.1
17310,ALANYA,1954,10,20.7
17310,ALANYA,1954,11,16.2
17310,ALANYA,1954,12,12.9
17310,ALANYA,1954,13,18.9
17310,ALANYA,1955,1,13.1
17310,ALANYA,1955,2,13.8
17310,ALANYA,1955,3,14.0
17310,ALANYA,1955,4,16.6
17310,ALANYA,1955,5,21.1
17310,ALANYA,1955,6,25.8
17310,ALANYA,1955,7,27.5
17310,ALANYA,1955,8,26.7
17310,ALANYA,1955,9,24.9
17310,ALANYA,1955,10,21.4
17310,ALANYA,1955,11,17.0
17310,ALANYA,1955,12,13.2
17310,ALANYA,1955,13,19.6
17310,ALANYA,1956,1,12.0
17310,ALANYA,1956,2,12.3
17310,ALANYA,1956,3,12.2
17310,ALANYA,1956,4,16.6
17310,ALANYA,1956,5,19.8
17310,ALANYA,1956,6,24.8
17310,ALANYA,1956,7,27.6
17310,ALANYA,1956,8,27.6
17310,ALANYA,1956,9,25.1
17310,ALANYA,1956,10,19.0
17310,ALANYA,1956,11,15.0
17310,ALANYA,1956,12,12.0
17310,ALANYA,1956,13,18.7
