Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
1521,HATAY TARIM ISL,1998,1,7.5
1521,HATAY TARIM ISL,1998,2,8.8
1521,HATAY TARIM ISL,1998,3,11.3
1521,HATAY TARIM ISL,1998,4,17.3
1521,HATAY TARIM ISL,1998,5,20.8
1521,HATAY TARIM ISL,1998,6,26.2
1521,HATAY TARIM ISL,1998,7,28.9
1521,HATAY TARIM ISL,1998,8,29.6
1521,HATAY TARIM ISL,1998,9,26.1
1521,HATAY TARIM ISL,1998,10,21.0
1521,HATAY TARIM ISL,1998,11,17.0
1521,HATAY TARIM ISL,1998,12,10.6
1521,HATAY TARIM ISL,1998,13,18.8
1521,HATAY TARIM ISL,1999,1,9.3
1521,HATAY TARIM ISL,1999,2,10.2
1521,HATAY TARIM ISL,1999,3,12.2
1521,HATAY TARIM ISL,1999,4,16.8
1521,HATAY TARIM ISL,1999,5,22.9
1521,HATAY TARIM ISL,1999,6,26.2
1521,HATAY TARIM ISL,1999,7,28.8
1521,HATAY TARIM ISL,1999,8,29.1
1521,HATAY TARIM ISL,1999,9,25.6
1521,HATAY TARIM ISL,1999,10,21.8
1521,HATAY TARIM ISL,1999,11,14.0
1521,HATAY TARIM ISL,1999,12,9.8
1521,HATAY TARIM ISL,1999,13,18.9
1521,HATAY TARIM ISL,2000,1,6.4
1521,HATAY TARIM ISL,2000,2,8.2
1521,HATAY TARIM ISL,2000,3,11.1
1521,HATAY TARIM ISL,2000,4,17.9
1521,HATAY TARIM ISL,2000,5,21.3
1521,HATAY TARIM ISL,2000,6,26.8
1521,HATAY TARIM ISL,2000,7,29.4
1521,HATAY TARIM ISL,2000,8,28.5
1521,HATAY TARIM,2000,9,25.6
1521,HATAY TARIM ISL,2000,10,19.9
1521,HATAY TARIM ISL,2000,11,14.1
1521,HATAY TARIM ISL,2000,12,8.8
1521,HATAY TARIM ISL,2000,13,18.2
1521,HATAY TARIM ISL,2001,1,9.0
1521,HATAY TARIM ISL,2001,2,9.7
1521,HATAY TARIM ISL,2001,3,15.5
1521,HATAY TARIM ISL,2001,4,18.1
1521,HATAY TARIM ISL,2001,5,20.9
1521,HATAY TARIM ISL,2001,6,26.9
1521,HATAY TARIM ISL,2001,7,28.7
1521,HATAY TARIM ISL,2001,8,28.9
1521,HATAY TARIM ISL,2001,9,25.7
1521,HATAY TARIM ISL,2001,10,20.7
1521,HATAY TARIM ISL,2001,11,12.2
1521,HATAY TARIM ISL,2001,12,9.6
1521,HATAY TARIM ISL,2001,13,18.9
1521,HATAY TARIM ISL,2002,1,5.9
1521,HATAY TARIM ISL,2002,2,10.9
1521,HATAY TARIM ISL,2002,3,13.5
1521,HATAY TARIM ISL,2002,4,16.2
1521,HATAY TARIM ISL,2002,5,20.9
1521,HATAY TARIM ISL,2002,6,26.4
1521,HATAY TARIM ISL,2002,7,29.1
1521,HATAY TARIM ISL,2002,8,28.3
1521,HATAY TARIM ISL,2002,9,25.3
1521,HATAY TARIM ISL,2002,10,21.4
1521,HATAY TARIM ISL,2002,11,15.4
1521,HATAY TARIM ISL,2002,12,7.3
1521,HATAY TARIM ISL,2002,13,18.4
1521,HATAY TARIM ISL,2003,1,9.2
1521,HATAY TARIM ISL,2003,2,7.4
1521,HATAY TARIM ISL,2003,3,10.4
1521,HATAY TARIM ISL,2003,4,16.3
1521,HATAY TARIM ISL,2003,5,23.6
1521,HATAY TARIM ISL,2003,6,26.4
1521,HATAY TARIM ISL,2003,7,28.8
1521,HATAY TARIM ISL,2003,8,29.2
1521,HATAY TARIM ISL,2003,9,24.7
1521,HATAY TARIM ISL,2003,10,21.8
1521,HATAY TARIM ISL,2003,11,13.1
1521,HATAY TARIM ISL,2003,12,9.2
