Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
17238,BURDUR,1950,1,-1.0
17238,BURDUR,1950,2,2.3
17238,BURDUR,1950,3,6.4
17238,BURDUR,1950,4,14.8
17238,BURDUR,1950,5,15.6
17238,BURDUR,1950,6,20.0
17238,BURDUR,1950,7,24.0
17238,BURDUR,1950,8,23.7
17238,BURDUR,1950,9,21.9
17238,BURDUR,1950,10,12.8
17238,BURDUR,1950,11,9.0
17238,BURDUR,1950,12,7.2
17238,BURDUR,1950,13,13.1
17238,BURDUR,1951,1,3.7
17238,BURDUR,1951,2,6.0
17238,BURDUR,1951,3,8.7
17238,BURDUR,1951,4,12.8
17238,BURDUR,1951,5,17.2
17238,BURDUR,1951,6,20.3
17238,BURDUR,1951,7,23.7
17238,BURDUR,1951,8,24.6
17238,BURDUR,1951,9,20.9
17238,BURDUR,1951,10,11.8
17238,BURDUR,1951,11,8.6
17238,BURDUR,1951,12,1.9
17238,BURDUR,1951,13,13.4
17238,BURDUR,1952,1,4.1
17238,BURDUR,1952,2,4.9
17238,BURDUR,1952,3,5.6
17238,BURDUR,1952,4,12.9
17238,BURDUR,1952,5,16.4
17238,BURDUR,1952,6,20.1
17238,BURDUR,1952,7,24.2
17238,BURDUR,1952,8,25.8
17238,BURDUR,1952,9,23.9
17238,BURDUR,1952,10,16.0
17238,BURDUR,1952,11,9.7
17238,BURDUR,1952,12,7.3
17238,BURDUR,1952,13,14.3
17238,BURDUR,1953,1,4.2
17238,BURDUR,1953,2,4.3
17238,BURDUR,1953,3,2.2
17238,BURDUR,1953,4,11.9
17238,BURDUR,1953,5,15.0
17238,BURDUR,1953,6,20.5
17238,BURDUR,1953,7,24.7
17238,BURDUR,1953,8,25.2
17238,BURDUR,1953,9,20.1
17238,BURDUR,1953,10,14.7
17238,BURDUR,1953,11,6.4
17238,BURDUR,1953,12,1.3
17238,BURDUR,1953,13,12.5
17238,BURDUR,1954,1,0.6
17238,BURDUR,1954,2,3.8
17238,BURDUR,1954,3,8.2
17238,BURDUR,1954,4,10.3
17238,BURDUR,1954,5,16.4
17238,BURDUR,1954,6,22.8
17238,BURDUR,1954,7,26.2
17238,BURDUR,1954,8,25.6
17238,BURDUR,1954,9,20.7
17238,BURDUR,1954,10,15.2
17238,BURDUR,1954,11,9.9
17238,BURDUR,1954,12,4.8
17238,BURDUR,1954,13,13.8
17238,BURDUR,1955,1,5.7
17238,BURDUR,1955,2,7.7
17238,BURDUR,1955,3,8.7
17238,BURDUR,1955,4,10.8
17238,BURDUR,1955,5,18.3
17238,BURDUR,1955,6,23.5
17238,BURDUR,1955,7,24.3
17238,BURDUR,1955,8,23.6
17238,BURDUR,1955,9,20.4
17238,BURDUR,1955,10,16.4
17238,BURDUR,1955,11,9.7
17238,BURDUR,1955,12,5.7
17238,BURDUR,1955,13,14.6
17238,BURDUR,1956,1,3.8
17238,BURDUR,1956,2,3.4
17238,BURDUR,1956,3,4.4
17238,BURDUR,1956,4,13.0
17238,BURDUR,1956,5,15.7
17238,BURDUR,1956,6,21.5
17238,BURDUR,1956,7,25.1
17238,BURDUR,1956,8,26.8
17238,BURDUR,1956,9,19.9
17238,BURDUR,1956,10,13.6
17238,BURDUR,1956,11,8.1
17238,BURDUR,1956,12,2.0
17238,BURDUR,1956,13,13.1
17238,BURDUR,1957,1,1.6
17238,BURDUR,1957,2,5.8
17238,BURDUR,1957,3,8.2
17238,BURDUR,1957,4,12.4
17238,BURDUR,1957,5,15.3
17238,BURDUR,1957,6,21.5
17238,BURDUR,1957,7,25.3
17238,BURDUR,1957,8,26.2
17238,BURDUR,1957,9,21.7
17238,BURDUR,1957,10,16.8
17238,BURDUR,1957,11,9.0
17238,BURDUR,1957,12,4.7
17238,BURDUR,1957,13,14.1
17238,BURDUR,1958,1,4.1
17238,BURDUR,1958,2,5.9
17238,BURDUR,1958,3,8.0
17238,BURDUR,1958,4,11.9
17238,BURDUR,1958,5,17.7
17238,BURDUR,1958,6,20.6
17238,BURDUR,1958,7,24.2
17238,BURDUR,1958,8,25.5
17238,BURDUR,1958,9,19.3
17238,BURDUR,1958,10,14.2
17238,BURDUR,1958,11,10.0
17238,BURDUR,1958,12,6.3
17238,BURDUR,1958,13,14.0
17238,BURDUR,1959,1,4.0
17238,BURDUR,1959,2,-1.3
17238,BURDUR,1959,3,7.0
17238,BURDUR,1959,4,12.4
17238,BURDUR,1959,5,17.4
17238,BURDUR,1959,6,21.3
17238,BURDUR,1959,7,24.0
17238,BURDUR,1959,8,23.6
17238,BURDUR,1959,9,18.5
17238,BURDUR,1959,10,12.7
17238,BURDUR,1959,11,8.3
17238,BURDUR,1959,12,6.1
17238,BURDUR,1959,13,12.9
17238,BURDUR,1960,1,3.8
17238,BURDUR,1960,2,4.2
17238,BURDUR,1960,3,6.4
17238,BURDUR,1960,4,11.8
17238,BURDUR,1960,5,18.0
17238,BURDUR,1960,6,19.7
17238,BURDUR,1960,7,24.2
17238,BURDUR,1960,8,23.8
17238,BURDUR,1960,9,20.5
17238,BURDUR,1960,10,17.1
17238,BURDUR,1960,11,11.0
17238,BURDUR,1960,12,7.7
17238,BURDUR,1960,13,14.1
17238,BURDUR,1961,1,2.7
17238,BURDUR,1961,2,2.8
17238,BURDUR,1961,3,6.0
17238,BURDUR,1961,4,13.1
17238,BURDUR,1961,5,17.2
17238,BURDUR,1961,6,21.3
17238,BURDUR,1961,7,24.8
17238,BURDUR,1961,8,25.4
17238,BURDUR,1961,9,18.0
17238,BURDUR,1961,10,14.5
17238,BURDUR,1961,11,10.1
17238,BURDUR,1961,12,5.8
17238,BURDUR,1961,13,13.5
17238,BURDUR,1962,1,4.2
17238,BURDUR,1962,2,3.6
17238,BURDUR,1962,3,8.9
17238,BURDUR,1962,4,11.3
17238,BURDUR,1962,5,17.5
17238,BURDUR,1962,6,21.7
17238,BURDUR,1962,7,25.4
17238,BURDUR,1962,8,26.5
17238,BURDUR,1962,9,20.8
17238,BURDUR,1962,10,14.5
17238,BURDUR,1962,11,12.4
17238,BURDUR,1962,12,6.6
17238,BURDUR,1962,13,14.5
17238,BURDUR,1963,1,4.5
17238,BURDUR,1963,2,6.3
17238,BURDUR,1963,3,5.0
17238,BURDUR,1963,4,11.0
17238,BURDUR,1963,5,14.1
17238,BURDUR,1963,6,20.2
17238,BURDUR,1963,7,23.9
17238,BURDUR,1963,8,25.3
17238,BURDUR,1963,9,20.5
17238,BURDUR,1963,10,15.1
17238,BURDUR,1963,11,10.2
17238,BURDUR,1963,12,4.8
17238,BURDUR,1963,13,13.4
17238,BURDUR,1964,1,-0.7
17238,BURDUR,1964,2,2.1
17238,BURDUR,1964,3,7.6
17238,BURDUR,1964,4,11.0
17238,BURDUR,1964,5,14.3
17238,BURDUR,1964,6,19.6
17238,BURDUR,1964,7,23.8
17238,BURDUR,1964,8,23.0
17238,BURDUR,1964,9,18.7
17238,BURDUR,1964,10,15.6
17238,BURDUR,1964,11,8.9
17238,BURDUR,1964,12,5.4
17238,BURDUR,1964,13,12.5
17238,BURDUR,1965,1,2.8
17238,BURDUR,1965,2,2.4
17238,BURDUR,1965,3,6.9
17238,BURDUR,1965,4,10.2
17238,BURDUR,1965,5,14.6
17238,BURDUR,1965,6,21.4
17238,BURDUR,1965,7,23.9
17238,BURDUR,1965,8,23.8
17238,BURDUR,1965,9,21.5
17238,BURDUR,1965,10,12.2
17238,BURDUR,1965,11,8.6
17238,BURDUR,1965,12,5.1
17238,BURDUR,1965,13,12.8
17238,BURDUR,1966,1,4.3
17238,BURDUR,1966,2,6.7
17238,BURDUR,1966,3,6.8
17238,BURDUR,1966,4,12.0
17238,BURDUR,1966,5,15.1
17238,BURDUR,1966,6,20.3
17238,BURDUR,1966,7,24.4
17238,BURDUR,1966,8,25.6
17238,BURDUR,1966,9,19.5
17238,BURDUR,1966,10,16.8
17238,BURDUR,1966,11,12.7
17238,BURDUR,1966,12,5.0
17238,BURDUR,1966,13,14.1
17238,BURDUR,1967,1,2.2
17238,BURDUR,1967,2,1.2
17238,BURDUR,1967,3,5.6
17238,BURDUR,1967,4,10.5
17238,BURDUR,1967,5,15.2
17238,BURDUR,1967,6,19.0
17238,BURDUR,1967,7,23.1
17238,BURDUR,1967,8,23.9
17238,BURDUR,1967,9,18.8
17238,BURDUR,1967,10,13.9
17238,BURDUR,1967,11,7.2
17238,BURDUR,1967,12,5.2
17238,BURDUR,1967,13,12.2
17238,BURDUR,1968,1,1.5
17238,BURDUR,1968,2,4.0
17238,BURDUR,1968,3,5.9
17238,BURDUR,1968,4,13.6
17238,BURDUR,1968,5,18.6
