Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
17866,GÖKSUN,1960,1,-3.3
17866,GÖKSUN,1960,2,-2.9
17866,GÖKSUN,1960,3,0.8
17866,GÖKSUN,1960,4,6.5
17866,GÖKSUN,1960,5,11.8
17866,GÖKSUN,1960,7,16.4
17866,GÖKSUN,1960,8,14.6
17866,GÖKSUN,1960,9,9.3
17866,GÖKSUN,1960,10,4.3
17866,GÖKSUN,1960,11,3.4
17866,GÖKSUN,1960,12,-1.9
17866,GÖKSUN,1961,1,-7.9
17866,GÖKSUN,1961,2,-6.1
17866,GÖKSUN,1961,3,-2.2
17866,GÖKSUN,1961,4,7.2
17866,GÖKSUN,1961,5,11.3
17866,GÖKSUN,1961,6,14.4
17866,GÖKSUN,1961,7,15.5
17866,GÖKSUN,1961,8,14.8
17866,GÖKSUN,1961,9,7.6
17866,GÖKSUN,1961,10,4.3
17866,GÖKSUN,1961,11,2.1
17866,GÖKSUN,1961,12,0.3
17866,GÖKSUN,1961,13,5.2
17866,GÖKSUN,1962,1,-3.0
17866,GÖKSUN,1962,2,-2.6
17866,GÖKSUN,1962,3,2.0
17866,GÖKSUN,1962,4,5.3
17866,GÖKSUN,1962,5,11.0
17866,GÖKSUN,1962,6,15.1
17866,GÖKSUN,1962,7,18.8
17866,GÖKSUN,1962,8,15.4
17866,GÖKSUN,1962,11,2.5
17866,GÖKSUN,1962,12,-0.2
17866,GÖKSUN,1963,1,3.2
17866,GÖKSUN,1963,2,2.0
17866,GÖKSUN,1963,3,0.5
17866,GÖKSUN,1963,4,7.7
17866,GÖKSUN,1963,5,11.3
17866,GÖKSUN,1963,6,17.0
17866,GÖKSUN,1963,7,20.9
17866,GÖKSUN,1963,8,22.0
17866,GÖKSUN,1963,9,16.7
17866,GÖKSUN,1963,10,12.1
17866,GÖKSUN,1963,11,6.1
17866,GÖKSUN,1963,12,0.0
17866,GÖKSUN,1963,13,10.0
17866,GÖKSUN,1964,1,-6.6
17866,GÖKSUN,1964,2,-3.6
17866,GÖKSUN,1964,3,3.4
17866,GÖKSUN,1964,4,7.5
17866,GÖKSUN,1964,5,11.7
17866,GÖKSUN,1964,6,17.3
17866,GÖKSUN,1964,7,21.9
