Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
17370,İSKENDERUN,1950,1,7.6
17370,İSKENDERUN,1950,2,10.3
17370,İSKENDERUN,1950,3,14.7
17370,İSKENDERUN,1950,4,20.8
17370,İSKENDERUN,1950,5,21.8
17370,İSKENDERUN,1950,6,26.0
17370,İSKENDERUN,1950,7,28.1
17370,İSKENDERUN,1950,8,28.4
17370,İSKENDERUN,1950,9,27.4
17370,İSKENDERUN,1950,10,21.4
17370,İSKENDERUN,1950,11,18.6
17370,İSKENDERUN,1950,12,15.3
17370,İSKENDERUN,1950,13,20.1
17370,İSKENDERUN,1951,1,13.0
17370,İSKENDERUN,1951,2,12.8
17370,İSKENDERUN,1951,3,16.3
17370,İSKENDERUN,1951,4,18.9
17370,İSKENDERUN,1951,5,22.4
17370,İSKENDERUN,1951,6,25.4
17370,İSKENDERUN,1951,7,28.1
17370,İSKENDERUN,1951,8,29.2
17370,İSKENDERUN,1951,9,26.9
17370,İSKENDERUN,1951,10,20.6
17370,İSKENDERUN,1951,11,18.1
17370,İSKENDERUN,1951,12,11.9
17370,İSKENDERUN,1951,13,20.3
17370,İSKENDERUN,1952,1,12.0
17370,İSKENDERUN,1952,2,12.9
17370,İSKENDERUN,1952,3,13.5
17370,İSKENDERUN,1952,4,18.2
17370,İSKENDERUN,1952,5,21.4
17370,İSKENDERUN,1952,6,25.2
17370,İSKENDERUN,1952,7,27.5
17370,İSKENDERUN,1952,8,29.0
17370,İSKENDERUN,1952,9,28.4
17370,İSKENDERUN,1952,10,24.1
17370,İSKENDERUN,1952,11,17.8
17370,İSKENDERUN,1952,12,15.8
17370,İSKENDERUN,1952,13,20.5
17370,İSKENDERUN,1953,1,12.9
17370,İSKENDERUN,1953,2,13.0
17370,İSKENDERUN,1953,3,11.6
17370,İSKENDERUN,1953,4,17.7
17370,İSKENDERUN,1953,5,21.9
17370,İSKENDERUN,1953,6,25.5
17370,İSKENDERUN,1953,7,28.8
17370,İSKENDERUN,1953,8,29.5
17370,İSKENDERUN,1953,9,26.0
17370,İSKENDERUN,1953,10,22.4
17370,İSKENDERUN,1953,11,15.0
17370,İSKENDERUN,1953,12,9.6
17370,İSKENDERUN,1953,13,19.5
