Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
8895,GULNAR,1972,1,1.5
8895,GULNAR,1972,2,1.4
8895,GULNAR,1972,3,6.8
8895,GULNAR,1972,4,12.5
8895,GULNAR,1972,5,15.2
8895,GULNAR,1972,6,19.7
8895,GULNAR,1972,7,21.1
8895,GULNAR,1972,8,21.5
8895,GULNAR,1972,9,19.4
8895,GULNAR,1972,10,13.8
8895,GULNAR,1972,11,8.1
8895,GULNAR,1972,12,4.6
8895,GULNAR,1972,13,12.1
8895,GULNAR,1973,1,2.6
8895,GULNAR,1973,2,5.9
8895,GULNAR,1973,3,6.6
8895,GULNAR,1973,4,9.9
8895,GULNAR,1973,5,17.3
8895,GULNAR,1973,6,19.9
8895,GULNAR,1973,7,23.8
8895,GULNAR,1973,8,23.4
8895,GULNAR,1973,9,20.7
8895,GULNAR,1973,10,15.5
8895,GULNAR,1973,11,6.8
8895,GULNAR,1973,12,5.4
8895,GULNAR,1973,13,13.2
8895,GULNAR,1974,1,0.9
8895,GULNAR,1974,2,4.5
8895,GULNAR,1974,3,8.2
8895,GULNAR,1974,4,10.7
8895,GULNAR,1974,5,15.5
8895,GULNAR,1974,6,20.2
8895,GULNAR,1974,7,23.5
8895,GULNAR,1974,8,21.8
8895,GULNAR,1974,9,18.9
8895,GULNAR,1974,10,16.3
8895,GULNAR,1974,11,9.1
8895,GULNAR,1974,12,4.2
8895,GULNAR,1974,13,12.9
8895,GULNAR,1975,1,3.0
8895,GULNAR,1975,2,2.6
8895,GULNAR,1975,3,7.8
8895,GULNAR,1975,4,13.6
8895,GULNAR,1975,5,14.8
8895,GULNAR,1975,6,19.6
8895,GULNAR,1975,7,22.9
8895,GULNAR,1975,8,22.0
8895,GULNAR,1975,9,19.4
8895,GULNAR,1975,10,13.8
8895,GULNAR,1975,11,9.0
8895,GULNAR,1975,12,2.9
8895,GULNAR,1975,13,12.7
8895,GULNAR,1978,1,4.1
8895,GULNAR,1978,2,5.9
8895,GULNAR,1978,3,7.2
8895,GULNAR,1978,4,10.9
8895,GULNAR,1978,5,17.5
8895,GULNAR,1978,6,21.3
8895,GULNAR,1978,7,24.2
8895,GULNAR,1978,8,21.9
8895,GULNAR,1978,9,17.2
8895,GULNAR,1978,10,15.9
8895,GULNAR,1978,11,7.6
8895,GULNAR,1978,12,6.1
8895,GULNAR,1978,13,13.1
8895,GULNAR,1979,1,3.9
8895,GULNAR,1979,2,6.2
8895,GULNAR,1979,3,8.4
8895,GULNAR,1979,4,11.5
8895,GULNAR,1979,5,15.9
8895,GULNAR,1979,6,20.5
8895,GULNAR,1979,7,22.5
8895,GULNAR,1979,8,22.7
8895,GULNAR,1979,9,20.1
8895,GULNAR,1979,10,14.8
8895,GULNAR,1979,11,11.0
8895,GULNAR,1979,12,5.0
8895,GULNAR,1979,13,13.7
8895,GULNAR,1980,1,1.7
8895,GULNAR,1980,2,2.9
8895,GULNAR,1980,3,5.8
8895,GULNAR,1980,4,10.2
8895,GULNAR,1980,5,14.9
8895,GULNAR,1980,6,20.9
8895,GULNAR,1980,7,23.5
