Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
17908,KOZAN,1959,1,8.6
17908,KOZAN,1959,2,4.6
17908,KOZAN,1959,3,10.1
17908,KOZAN,1959,4,15.2
17908,KOZAN,1959,5,18.4
17908,KOZAN,1959,6,22.1
17908,KOZAN,1959,7,24.3
17908,KOZAN,1959,8,25.5
17908,KOZAN,1959,9,21.2
17908,KOZAN,1959,10,16.6
17908,KOZAN,1959,11,13.0
17908,KOZAN,1959,12,9.8
17908,KOZAN,1959,13,15.9
17908,KOZAN,1960,1,8.0
17908,KOZAN,1960,2,8.5
17908,KOZAN,1960,3,10.7
17908,KOZAN,1960,4,14.1
17908,KOZAN,1960,5,21.0
17908,KOZAN,1960,6,22.7
17908,KOZAN,1960,7,25.2
17908,KOZAN,1960,8,25.5
17908,KOZAN,1960,9,22.0
17908,KOZAN,1960,10,19.0
17908,KOZAN,1960,11,15.0
17908,KOZAN,1960,12,12.4
17908,KOZAN,1960,13,17.0
17908,KOZAN,1961,1,6.8
17908,KOZAN,1961,2,7.2
17908,KOZAN,1961,3,9.2
17908,KOZAN,1961,4,15.0
17908,KOZAN,1961,5,19.3
17908,KOZAN,1961,6,23.0
17908,KOZAN,1961,7,25.5
17908,KOZAN,1961,8,25.6
17908,KOZAN,1961,9,20.9
17908,KOZAN,1961,10,18.8
17908,KOZAN,1961,11,12.5
17908,KOZAN,1961,12,10.3
17908,KOZAN,1961,13,16.2
17908,KOZAN,1962,1,8.6
17908,KOZAN,1962,2,7.4
17908,KOZAN,1962,3,12.1
17908,KOZAN,1962,4,13.2
17908,KOZAN,1962,5,19.2
17908,KOZAN,1962,6,23.1
17908,KOZAN,1962,7,25.3
17908,KOZAN,1962,8,25.8
17908,KOZAN,1962,9,23.2
17908,KOZAN,1962,10,19.7
17908,KOZAN,1962,11,17.9
17908,KOZAN,1962,12,11.3
17908,KOZAN,1962,13,17.3
17908,KOZAN,1963,1,12.2
17908,KOZAN,1963,2,13.1
17908,KOZAN,1963,3,12.1
17908,KOZAN,1963,4,18.1
17908,KOZAN,1963,5,19.8
17908,KOZAN,1963,6,24.7
17908,KOZAN,1963,7,26.6
17908,KOZAN,1963,8,30.1
17908,KOZAN,1963,9,26.8
17908,KOZAN,1963,10,22.5
17908,KOZAN,1963,11,17.1
17908,KOZAN,1963,12,11.0
17908,KOZAN,1963,13,19.5
17908,KOZAN,1964,1,6.5
17908,KOZAN,1964,2,10.2
17908,KOZAN,1964,3,14.7
17908,KOZAN,1964,4,17.3
17908,KOZAN,1964,5,19.9
17908,KOZAN,1964,9,25.6
17908,KOZAN,1964,10,23.0
17908,KOZAN,1964,11,16.5
