Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
7538,BUCAK BURDUR,1965,1,4.5
7538,BUCAK BURDUR,1965,2,3.0
7538,BUCAK BURDUR,1965,3,8.7
7538,BUCAK BURDUR,1965,4,11.6
7538,BUCAK BURDUR,1965,5,16.1
7538,BUCAK BURDUR,1965,6,23.3
7538,BUCAK BURDUR,1965,7,26.4
7538,BUCAK BURDUR,1965,8,25.0
7538,BUCAK BURDUR,1965,9,23.2
7538,BUCAK BURDUR,1965,10,14.0
7538,BUCAK BURDUR,1965,11,10.1
7538,BUCAK BURDUR,1965,12,6.6
7538,BUCAK BURDUR,1965,13,14.4
7538,BUCAK BURDUR,1966,1,5.8
7538,BUCAK BURDUR,1966,2,8.2
7538,BUCAK BURDUR,1966,3,8.2
7538,BUCAK BURDUR,1966,4,13.2
7538,BUCAK BURDUR,1966,5,17.3
7538,BUCAK BURDUR,1966,6,22.8
7538,BUCAK BURDUR,1966,7,26.5
7538,BUCAK BURDUR,1966,8,26.9
7538,BUCAK BURDUR,1966,9,21.2
7538,BUCAK BURDUR,1966,10,19.0
7538,BUCAK BURDUR,1966,11,13.7
7538,BUCAK BURDUR,1966,12,6.2
7538,BUCAK BURDUR,1966,13,15.8
7538,BUCAK BURDUR,1967,1,4.6
7538,BUCAK BURDUR,1967,2,3.7
7538,BUCAK BURDUR,1967,3,7.1
7538,BUCAK BURDUR,1967,4,12.1
7538,BUCAK BURDUR,1967,5,16.4
7538,BUCAK BURDUR,1967,6,21.4
7538,BUCAK BURDUR,1967,7,25.1
7538,BUCAK BURDUR,1967,8,25.8
7538,BUCAK BURDUR,1967,9,20.3
7538,BUCAK BURDUR,1967,10,15.2
7538,BUCAK BURDUR,1967,11,8.6
7538,BUCAK BURDUR,1967,12,6.7
7538,BUCAK BURDUR,1967,13,14.0
7538,BUCAK BURDUR,1968,1,3.0
7538,BUCAK BURDUR,1968,2,5.9
7538,BUCAK BURDUR,1968,3,8.0
7538,BUCAK BURDUR,1968,4,14.9
7538,BUCAK BURDUR,1968,5,19.8
7538,BUCAK BURDUR,1968,6,21.2
7538,BUCAK BURDUR,1968,7,26.6
7538,BUCAK BURDUR,1968,8,23.7
7538,BUCAK BURDUR,1968,9,19.9
7538,BUCAK BURDUR,1968,10,14.6
7538,BUCAK BURDUR,1968,11,10.2
7538,BUCAK BURDUR,1968,12,6.4
7538,BUCAK BURDUR,1968,13,14.5
7538,BUCAK BURDUR,1969,1,3.5
7538,BUCAK BURDUR,1969,2,6.0
7538,BUCAK BURDUR,1969,3,9.3
7538,BUCAK BURDUR,1969,4,9.6
7538,BUCAK BURDUR,1969,5,18.5
7538,BUCAK BURDUR,1969,6,22.6
7538,BUCAK BURDUR,1969,7,25.1
7538,BUCAK BURDUR,1969,8,26.4
7538,BUCAK BURDUR,1969,9,22.5
7538,BUCAK BURDUR,1969,10,15.8
7538,BUCAK BURDUR,1969,11,10.3
7538,BUCAK BURDUR,1969,12,7.0
7538,BUCAK BURDUR,1969,13,14.8
7538,BUCAK BURDUR,1970,1,6.5
7538,BUCAK BURDUR,1970,2,6.8
7538,BUCAK BURDUR,1970,3,9.4
7538,BUCAK BURDUR,1970,4,14.1
7538,BUCAK BURDUR,1970,5,15.7
7538,BUCAK BURDUR,1970,6,22.8
7538,BUCAK BURDUR,1970,7,25.5
7538,BUCAK BURDUR,1970,8,26.0
7538,BUCAK BURDUR,1970,9,21.3
7538,BUCAK BURDUR,1970,10,13.7
7538,BUCAK BURDUR,1970,12,4.7
7538,BUCAK BURDUR,1970,13,15.2
7538,BUCAK BURDUR,1971,1,6.8
7538,BUCAK BURDUR,1971,2,4.7
7538,BUCAK BURDUR,1971,3,7.4
7538,BUCAK BURDUR,1971,4,11.1
7538,BUCAK BURDUR,1971,5,17.0
7538,BUCAK BURDUR,1971,6,21.6
7538,BUCAK BURDUR,1971,7,25.0
7538,BUCAK BURDUR,1971,8,24.2
7538,BUCAK BURDUR,1971,9,21.7
7538,BUCAK BURDUR,1972,1,2.7
7538,BUCAK BURDUR,1972,2,3.5
7538,BUCAK BURDUR,1972,3,9.0
7538,BUCAK BURDUR,1972,4,13.9
7538,BUCAK BURDUR,1972,5,17.2
7538,BUCAK BURDUR,1972,6,21.3
7538,BUCAK BURDUR,1972,7,24.0
7538,BUCAK BURDUR,1972,8,24.3
7538,BUCAK BURDUR,1972,9,21.4
7538,BUCAK BURDUR,1972,10,14.8
7538,BUCAK BURDUR,1972,11,8.8
7538,BUCAK BURDUR,1972,12,4.0
7538,BUCAK BURDUR,1972,13,13.8
7538,BUCAK BURDUR,1973,1,3.3
7538,BUCAK BURDUR,1973,2,6.1
7538,BUCAK BURDUR,1973,3,7.1
7538,BUCAK BURDUR,1973,4,11.3
7538,BUCAK BURDUR,1973,5,19.2
7538,BUCAK BURDUR,1973,6,21.9
7538,BUCAK BURDUR,1973,7,26.8
7538,BUCAK BURDUR,1973,8,26.2
7538,BUCAK BURDUR,1973,9,23.0
7538,BUCAK BURDUR,1973,10,16.8
7538,BUCAK BURDUR,1973,11,8.3
7538,BUCAK BURDUR,1973,12,6.6
7538,BUCAK BURDUR,1973,13,14.8
7538,BUCAK BURDUR,1974,1,0.2
7538,BUCAK BURDUR,1974,2,4.8
7538,BUCAK BURDUR,1974,3,10.7
7538,BUCAK BURDUR,1974,4,11.5
7538,BUCAK BURDUR,1974,5,16.9
