Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C
8949,REYHANLI,1988,1,8.3
8949,REYHANLI,1988,2,10.1
8949,REYHANLI,1988,3,12.3
8949,REYHANLI,1988,4,17.9
8949,REYHANLI,1990,1,7.2
8949,REYHANLI,1990,2,12.0
8949,REYHANLI,1990,4,19.1
17865,AKSU/ANAMAS,2004,1,0.2
17865,AKSU/ANAMAS,2004,2,2.1
17865,AKSU/ANAMAS,2004,3,6.3
17865,AKSU/ANAMAS,2004,4,9.3
17865,AKSU/ANAMAS,2004,5,13.8
17865,AKSU/ANAMAS,2004,6,17.5
17865,AKSU/ANAMAS,2004,7,20.8
17865,AKSU/ANAMAS,2004,8,20.1
17865,AKSU/ANAMAS,2004,9,16.7
17865,AKSU/ANAMAS,2004,10,12.7
17865,AKSU/ANAMAS,2004,12,4.0
17865,AKSU/ANAMAS,2005,1,1.8
17865,AKSU/ANAMAS,2005,2,5.4
17865,AKSU/ANAMAS,2005,3,5.3
17865,AKSU/ANAMAS,2005,4,9.5
17865,AKSU/ANAMAS,2005,5,14.1
17865,AKSU/ANAMAS,2005,6,17.4
17865,AKSU/ANAMAS,2005,7,21.5
17865,AKSU/ANAMAS,2005,8,21.7
17865,AKSU/ANAMAS,2005,9,16.2
17865,AKSU/ANAMAS,2005,10,9.9
17865,AKSU/ANAMAS,2005,11,4.9
17865,AKSU/ANAMAS,2005,12,3.2
17865,AKSU/ANAMAS,2005,13,11.4
17865,AKSU/ANAMAS,2006,1,-1.5
17865,AKSU/ANAMAS,2006,2,1.6
17865,AKSU/ANAMAS,2006,3,5.3
17865,AKSU/ANAMAS,2006,4,10.4
17865,AKSU/ANAMAS,2006,5,13.7
17865,AKSU/ANAMAS,2006,6,18.3
17865,AKSU/ANAMAS,2006,7,20.1
17865,AKSU/ANAMAS,2006,8,23.4
17865,AKSU/ANAMAS,2006,9,16.4
17865,AKSU/ANAMAS,2006,10,11.4
17865,AKSU/ANAMAS,2006,11,4.8
17865,AKSU/ANAMAS,2006,12,1.1
17865,AKSU/ANAMAS,2007,1,-0.9
17865,AKSU/ANAMAS,2007,2,1.6
17865,AKSU/ANAMAS,2007,3,5.8
17865,AKSU/ANAMAS,2007,4,8.0
17865,AKSU/ANAMAS,2007,5,16.2
17865,AKSU/ANAMAS,2007,6,19.4
17865,AKSU/ANAMAS,2007,7,22.6
17865,AKSU/ANAMAS,2007,8,22.1
17865,AKSU/ANAMAS,2007,9,16.5
17865,AKSU/ANAMAS,2007,10,12.1
17865,AKSU/ANAMAS,2007,11,6.5
17865,AKSU/ANAMAS,2007,12,1.4
17865,AKSU/ANAMAS,2007,13,11.0
17865,AKSU/ANAMAS,2008,1,-2.0
17865,AKSU/ANAMAS,2008,2,-0.4
17865,AKSU/ANAMAS,2008,3,7.2
17865,AKSU/ANAMAS,2008,4,10.8
17865,AKSU/ANAMAS,2008,5,12.7
17865,AKSU/ANAMAS,2008,6,18.7
17865,AKSU/ANAMAS,2008,7,20.8
17865,AKSU/ANAMAS,2008,8,22.4
17865,AKSU/ANAMAS,2008,9,16.9
17865,AKSU/ANAMAS,2008,10,10.6
17865,AKSU/ANAMAS,2008,11,7.4
17865,AKSU/ANAMAS,2008,12,2.2
17865,AKSU/ANAMAS,2008,13,10.0
17865,AKSU/ANAMAS,2009,1,2.0
17865,AKSU/ANAMAS,2009,2,2.5
17865,AKSU/ANAMAS,2009,3,3.5
17865,AKSU/ANAMAS,2009,4,9.1
17865,AKSU/ANAMAS,2009,5,12.9
17865,AKSU/ANAMAS,2009,6,18.5
17865,AKSU/ANAMAS,2009,7,20.7
17865,AKSU/ANAMAS,2009,8,19.9
17865,AKSU/ANAMAS,2009,9,15.3
17865,AKSU/ANAMAS,2009,10,13.0
17865,AKSU/ANAMAS,2009,11,6.0
17865,AKSU/ANAMAS,2009,12,4.5
17865,AKSU/ANAMAS,2009,13,10.7
17865,AKSU/ANAMAS,2010,1,2.9
17865,AKSU/ANAMAS,2010,2,4.0
17865,AKSU/ANAMAS,2010,3,7.2
17865,AKSU/ANAMAS,2010,4,9.7
17865,AKSU/ANAMAS,2010,5,14.2
17865,AKSU/ANAMAS,2010,6,16.7
17865,AKSU/ANAMAS,2010,7,21.3
17865,AKSU/ANAMAS,2010,8,22.6
17865,AKSU/ANAMAS,2010,9,17.0
17865,AKSU/ANAMAS,2010,10,10.6
17865,AKSU/ANAMAS,2010,11,9.2
17865,AKSU/ANAMAS,2010,12,5.1
17865,AKSU/ANAMAS,2010,13,11.6
17865,AKSU/ANAMAS,2011,1,1.5
17865,AKSU/ANAMAS,2011,2,1.9
17865,AKSU/ANAMAS,2011,3,4.7
17865,AKSU/ANAMAS,2011,4,8.1
17865,AKSU/ANAMAS,2011,5,11.8
17865,AKSU/ANAMAS,2011,6,16.5
17865,AKSU/ANAMAS,2011,7,21.3
17865,AKSU/ANAMAS,2011,8,21.0
17865,AKSU/ANAMAS,2011,9,17.5
17865,AKSU/ANAMAS,2011,10,9.7
17865,AKSU/ANAMAS,2011,11,2.8
17865,AKSU/ANAMAS,2011,12,1.8
17865,AKSU/ANAMAS,2011,13,9.9
17865,AKSU/ANAMAS,2012,1,-1.2
17865,AKSU/ANAMAS,2012,2,-1.0
17865,AKSU/ANAMAS,2012,3,3.4
17865,AKSU/ANAMAS,2012,4,11.1
17865,AKSU/ANAMAS,2012,5,13.3
17865,AKSU/ANAMAS,2012,6,19.6
17865,AKSU/ANAMAS,2012,7,22.9
17865,AKSU/ANAMAS,2012,8,20.5
17865,AKSU/ANAMAS,2012,9,18.3
17865,AKSU/ANAMAS,2012,10,12.8
17865,AKSU/ANAMAS,2012,11,7.9
17865,AKSU/ANAMAS,2012,12,3.6
17865,AKSU/ANAMAS,2012,13,10.9
17865,AKSU/ANAMAS,2013,1,1.5
17865,AKSU/ANAMAS,2013,2,3.6
17865,AKSU/ANAMAS,2013,3,5.9
17865,AKSU/ANAMAS,2013,4,10.7
17865,AKSU/ANAMAS,2013,5,16.8
17865,AKSU/ANAMAS,2013,6,19.7
17865,AKSU/ANAMAS,2013,7,21.7
17865,AKSU/ANAMAS,2013,8,21.8
17865,AKSU/ANAMAS,2013,9,16.4
17865,AKSU/ANAMAS,2013,10,9.7
17865,AKSU/ANAMAS,2013,11,8.6
17865,AKSU/ANAMAS,2013,12,2.0
17865,AKSU/ANAMAS,2013,13,11.6
17865,AKSU/ANAMAS,2014,1,4.2
17865,AKSU/ANAMAS,2014,2,4.2
17865,AKSU/ANAMAS,2014,3,6.7
17865,AKSU/ANAMAS,2014,4,11.8
17865,AKSU/ANAMAS,2014,5,15.2
17865,AKSU/ANAMAS,2014,6,19.8
17865,AKSU/ANAMAS,2014,7,22.0
17865,AKSU/ANAMAS,2014,8,22.2
17865,AKSU/ANAMAS,2014,9,16.4
17865,AKSU/ANAMAS,2014,10,11.3
17865,AKSU/ANAMAS,2014,11,5.7
17865,AKSU/ANAMAS,2014,12,5.2
17865,AKSU/ANAMAS,2014,13,12.1
17865,AKSU/ANAMAS,2015,1,0.8
17865,AKSU/ANAMAS,2015,2,1.7
17865,AKSU/ANAMAS,2015,3,5.0
17865,AKSU/ANAMAS,2015,4,7.2
17865,AKSU/ANAMAS,2015,5,14.2
17865,AKSU/ANAMAS,2015,6,15.4
17865,AKSU/ANAMAS,2015,7,20.9
17865,AKSU/ANAMAS,2015,8,21.2
17865,AKSU/ANAMAS,2015,9,19.2
17865,AKSU/ANAMAS,2015,10,12.7
17865,AKSU/ANAMAS,2015,11,7.3
17865,AKSU/ANAMAS,2015,12,1.4
17865,AKSU/ANAMAS,2015,13,10.6
17865,AKSU/ANAMAS,2016,1,0.0
17865,AKSU/ANAMAS,2016,2,5.7
17865,AKSU/ANAMAS,2016,3,6.0
17865,AKSU/ANAMAS,2016,4,12.1
17865,AKSU/ANAMAS,2016,5,12.4
17865,AKSU/ANAMAS,2016,6,19.1
17865,AKSU/ANAMAS,2016,7,21.8
17865,AKSU/ANAMAS,2016,8,21.8
17865,AKSU/ANAMAS,2016,9,16.3
17865,AKSU/ANAMAS,2016,10,12.7
