Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C,İl,Enlem,Boylam,datetime
17310,Alanya,1952,1,12.0,Antalya,36.5507,31.9803,1952-01-01
17310,Alanya,1952,2,12.3,Antalya,36.5507,31.9803,1952-02-01
17310,Alanya,1952,3,12.3,Antalya,36.5507,31.9803,1952-03-01
17310,Alanya,1952,4,16.7,Antalya,36.5507,31.9803,1952-04-01
17310,Alanya,1952,5,19.8,Antalya,36.5507,31.9803,1952-05-01
17310,Alanya,1952,6,24.2,Antalya,36.5507,31.9803,1952-06-01
17310,Alanya,1952,7,26.7,Antalya,36.5507,31.9803,1952-07-01
17310,Alanya,1952,8,28.1,Antalya,36.5507,31.9803,1952-08-01
17310,Alanya,1952,9,26.4,Antalya,36.5507,31.9803,1952-09-01
17310,Alanya,1952,10,21.1,Antalya,36.5507,31.9803,1952-10-01
17310,Alanya,1952,11,16.4,Antalya,36.5507,31.9803,1952-11-01
17310,Alanya,1952,12,14.6,Antalya,36.5507,31.9803,1952-12-01
17310,Alanya,1953,1,12.1,Antalya,36.5507,31.9803,1953-01-01
17310,Alanya,1953,2,12.2,Antalya,36.5507,31.9803,1953-02-01
17310,Alanya,1953,3,10.6,Antalya,36.5507,31.9803,1953-03-01
17310,Alanya,1953,4,16.4,Antalya,36.5507,31.9803,1953-04-01
17310,Alanya,1953,5,19.9,Antalya,36.5507,31.9803,1953-05-01
17310,Alanya,1953,6,24.4,Antalya,36.5507,31.9803,1953-06-01
17310,Alanya,1953,7,28.0,Antalya,36.5507,31.9803,1953-07-01
17310,Alanya,1953,8,27.7,Antalya,36.5507,31.9803,1953-08-01
17310,Alanya,1953,9,24.3,Antalya,36.5507,31.9803,1953-09-01
17310,Alanya,1953,10,20.5,Antalya,36.5507,31.9803,1953-10-01
17310,Alanya,1953,11,14.2,Antalya,36.5507,31.9803,1953-11-01
17310,Alanya,1953,12,10.5,Antalya,36.5507,31.9803,1953-12-01
17310,Alanya,1954,1,10.2,Antalya,36.5507,31.9803,1954-01-01
