Istasyon_No,Istasyon_Adi,YIL,AY,ORTALAMA_SICAKLIK_°C,İl,Enlem,Boylam,datetime
17310,Alanya,1987,1,12.7,Antalya,36.5507,31.9803,1987-01-01
17310,Alanya,1987,2,13.4,Antalya,36.5507,31.9803,1987-02-01
17310,Alanya,1987,3,11.1,Antalya,36.5507,31.9803,1987-03-01
17310,Alanya,1987,4,15.3,Antalya,36.5507,31.9803,1987-04-01
17310,Alanya,1987,5,18.6,Antalya,36.5507,31.9803,1987-05-01
17310,Alanya,1987,6,23.4,Antalya,36.5507,31.9803,1987-06-01
17310,Alanya,1987,7,26.9,Antalya,36.5507,31.9803,1987-07-01
17310,Alanya,1987,8,27.2,Antalya,36.5507,31.9803,1987-08-01
17310,Alanya,1987,9,25.1,Antalya,36.5507,31.9803,1987-09-01
17310,Alanya,1987,10,20.4,Antalya,36.5507,31.9803,1987-10-01
17310,Alanya,1987,11,15.4,Antalya,36.5507,31.9803,1987-11-01
17310,Alanya,1987,12,12.6,Antalya,36.5507,31.9803,1987-12-01
17310,Alanya,1988,1,12.1,Antalya,36.5507,31.9803,1988-01-01
17310,Alanya,1988,2,11.8,Antalya,36.5507,31.9803,1988-02-01
17310,Alanya,1988,3,12.7,Antalya,36.5507,31.9803,1988-03-01
17310,Alanya,1988,4,16.2,Antalya,36.5507,31.9803,1988-04-01
17310,Alanya,1988,5,20.6,Antalya,36.5507,31.9803,1988-05-01
17310,Alanya,1988,6,24.4,Antalya,36.5507,31.9803,1988-06-01
17310,Alanya,1988,7,28.6,Antalya,36.5507,31.9803,1988-07-01
17310,Alanya,1988,8,28.1,Antalya,36.5507,31.9803,1988-08-01
17310,Alanya,1988,9,25.7,Antalya,36.5507,31.9803,1988-09-01
17310,Alanya,1988,10,20.2,Antalya,36.5507,31.9803,1988-10-01
17310,Alanya,1988,11,13.5,Antalya,36.5507,31.9803,1988-11-01
17310,Alanya,1988,12,12.6,Antalya,36.5507,31.9803,1988-12-01
17310,Alanya,1989,1,9.6,Antalya,36.5507,31.9803,1989-01-01
17310,Alanya,1989,2,11.1,Antalya,36.5507,31.9803,1989-02-01
17310,Alanya,1989,3,14.3,Antalya,36.5507,31.9803,1989-03-01
17310,Alanya,1989,4,18.8,Antalya,36.5507,31.9803,1989-04-01
17310,Alanya,1989,5,21.2,Antalya,36.5507,31.9803,1989-05-01
17310,Alanya,1989,6,23.6,Antalya,36.5507,31.9803,1989-06-01
17310,Alanya,1989,7,27.1,Antalya,36.5507,31.9803,1989-07-01
17310,Alanya,1989,8,27.3,Antalya,36.5507,31.9803,1989-08-01
17310,Alanya,1989,9,25.1,Antalya,36.5507,31.9803,1989-09-01
17310,Alanya,1989,10,20.0,Antalya,36.5507,31.9803,1989-10-01
17310,Alanya,1989,11,16.3,Antalya,36.5507,31.9803,1989-11-01
17310,Alanya,1989,12,12.9,Antalya,36.5507,31.9803,1989-12-01
17310,Alanya,1990,1,10.3,Antalya,36.5507,31.9803,1990-01-01
17310,Alanya,1990,2,12.0,Antalya,36.5507,31.9803,1990-02-01
17310,Alanya,1990,3,13.9,Antalya,36.5507,31.9803,1990-03-01
17310,Alanya,1990,4,16.9,Antalya,36.5507,31.9803,1990-04-01
17310,Alanya,1990,5,20.5,Antalya,36.5507,31.9803,1990-05-01
17310,Alanya,1990,6,23.8,Antalya,36.5507,31.9803,1990-06-01
17310,Alanya,1990,7,27.1,Antalya,36.5507,31.9803,1990-07-01
17310,Alanya,1990,8,26.7,Antalya,36.5507,31.9803,1990-08-01
17310,Alanya,1990,9,24.9,Antalya,36.5507,31.9803,1990-09-01
17310,Alanya,1990,10,21.6,Antalya,36.5507,31.9803,1990-10-01
17310,Alanya,1990,11,17.2,Antalya,36.5507,31.9803,1990-11-01
17310,Alanya,1990,12,13.6,Antalya,36.5507,31.9803,1990-12-01
17310,Alanya,1991,1,11.3,Antalya,36.5507,31.9803,1991-01-01
17310,Alanya,1991,2,11.6,Antalya,36.5507,31.9803,1991-02-01
17310,Alanya,1991,3,14.9,Antalya,36.5507,31.9803,1991-03-01
17310,Alanya,1991,4,17.5,Antalya,36.5507,31.9803,1991-04-01
17310,Alanya,1991,5,19.6,Antalya,36.5507,31.9803,1991-05-01
17310,Alanya,1991,6,24.2,Antalya,36.5507,31.9803,1991-06-01
17310,Alanya,1991,7,27.0,Antalya,36.5507,31.9803,1991-07-01
17310,Alanya,1991,8,28.1,Antalya,36.5507,31.9803,1991-08-01
17310,Alanya,1991,9,26.3,Antalya,36.5507,31.9803,1991-09-01
17310,Alanya,1991,10,21.8,Antalya,36.5507,31.9803,1991-10-01
17310,Alanya,1991,11,16.0,Antalya,36.5507,31.9803,1991-11-01
17310,Alanya,1991,12,11.5,Antalya,36.5507,31.9803,1991-12-01
17310,Alanya,1992,1,10.4,Antalya,36.5507,31.9803,1992-01-01
17310,Alanya,1992,2,8.4,Antalya,36.5507,31.9803,1992-02-01
17310,Alanya,1992,3,11.7,Antalya,36.5507,31.9803,1992-03-01
17310,Alanya,1992,4,15.6,Antalya,36.5507,31.9803,1992-04-01
17310,Alanya,1992,5,19.1,Antalya,36.5507,31.9803,1992-05-01
17310,Alanya,1992,6,23.2,Antalya,36.5507,31.9803,1992-06-01
17310,Alanya,1992,7,26.2,Antalya,36.5507,31.9803,1992-07-01
17310,Alanya,1992,8,28.1,Antalya,36.5507,31.9803,1992-08-01
17310,Alanya,1992,9,25.8,Antalya,36.5507,31.9803,1992-09-01
17310,Alanya,1992,10,22.4,Antalya,36.5507,31.9803,1992-10-01
17310,Alanya,1992,11,16.3,Antalya,36.5507,31.9803,1992-11-01
17310,Alanya,1992,12,10.7,Antalya,36.5507,31.9803,1992-12-01
17310,Alanya,1993,1,10.4,Antalya,36.5507,31.9803,1993-01-01
17310,Alanya,1993,2,9.8,Antalya,36.5507,31.9803,1993-02-01
17310,Alanya,1993,3,12.3,Antalya,36.5507,31.9803,1993-03-01
17310,Alanya,1993,4,16.0,Antalya,36.5507,31.9803,1993-04-01
17310,Alanya,1993,5,19.2,Antalya,36.5507,31.9803,1993-05-01
17310,Alanya,1993,6,24.7,Antalya,36.5507,31.9803,1993-06-01
17310,Alanya,1993,7,27.5,Antalya,36.5507,31.9803,1993-07-01
17310,Alanya,1993,8,28.6,Antalya,36.5507,31.9803,1993-08-01
17310,Alanya,1993,9,25.6,Antalya,36.5507,31.9803,1993-09-01
17310,Alanya,1993,10,24.0,Antalya,36.5507,31.9803,1993-10-01
17310,Alanya,1993,11,16.2,Antalya,36.5507,31.9803,1993-11-01
17310,Alanya,1993,12,14.8,Antalya,36.5507,31.9803,1993-12-01
17310,Alanya,1994,1,13.3,Antalya,36.5507,31.9803,1994-01-01
17310,Alanya,1994,2,12.5,Antalya,36.5507,31.9803,1994-02-01
17310,Alanya,1994,3,14.4,Antalya,36.5507,31.9803,1994-03-01
17310,Alanya,1994,4,18.5,Antalya,36.5507,31.9803,1994-04-01
17310,Alanya,1994,5,21.6,Antalya,36.5507,31.9803,1994-05-01
17310,Alanya,1994,6,25.1,Antalya,36.5507,31.9803,1994-06-01
17310,Alanya,1994,7,27.3,Antalya,36.5507,31.9803,1994-07-01
17310,Alanya,1994,8,28.9,Antalya,36.5507,31.9803,1994-08-01
17310,Alanya,1994,9,27.8,Antalya,36.5507,31.9803,1994-09-01
17310,Alanya,1994,10,24.1,Antalya,36.5507,31.9803,1994-10-01
17310,Alanya,1994,11,15.9,Antalya,36.5507,31.9803,1994-11-01
17310,Alanya,1994,12,12.1,Antalya,36.5507,31.9803,1994-12-01
17310,Alanya,1995,1,12.6,Antalya,36.5507,31.9803,1995-01-01
17310,Alanya,1995,2,13.2,Antalya,36.5507,31.9803,1995-02-01
17310,Alanya,1995,3,14.5,Antalya,36.5507,31.9803,1995-03-01
17310,Alanya,1995,4,16.1,Antalya,36.5507,31.9803,1995-04-01
17310,Alanya,1995,5,21.2,Antalya,36.5507,31.9803,1995-05-01
17310,Alanya,1995,6,26.0,Antalya,36.5507,31.9803,1995-06-01
17310,Alanya,1995,7,28.4,Antalya,36.5507,31.9803,1995-07-01
17310,Alanya,1995,8,28.9,Antalya,36.5507,31.9803,1995-08-01
17310,Alanya,1995,9,26.2,Antalya,36.5507,31.9803,1995-09-01
17310,Alanya,1995,10,21.8,Antalya,36.5507,31.9803,1995-10-01
17310,Alanya,1995,11,14.9,Antalya,36.5507,31.9803,1995-11-01
