Istasyon_No,İl,Enlem,Boylam
17310,Antalya,36.5507,31.9803
17375,Antalya,36.3024,30.1458
17380,Antalya,36.2002,29.6502
17895,Antalya,36.9393,30.898
17927,Antalya,37.0968,31.5952
17952,Antalya,36.7372,29.9121
17974,Antalya,36.2715,32.3045
18047,Antalya,37.0468,31.7971
18307,Antalya,37.0987,30.6425
8498,Antalya,36.8166,32.0
17370,Hatay,36.5924,36.1582
17372,Hatay,36.2048,36.1513
17645,Hatay,36.265772,36.498125
17962,Hatay,36.8244,36.1981
8949,Hatay,36.2666,36.5666
1521,Hatay,36.65,36.6666
17486,Hatay,36.7266,36.18726
17238,Burdur,37.722,30.294
17240,Isparta,37.7848,30.5679
17255,K. Maras,37.576,36.915
17302,Antalya,36.8851,30.6828
17340,Mersin,36.7808,34.6031
17351,Adana,37.0041,35.3443
17355,Osmaniye,37.1021,36.2539
17371,Hatay,36.3615,36.2829
17866,K. Maras,38.024,36.4823
17870,K. Maras,38.2038,37.1982
18063,Osmaniye,37.2022,36.5778
18064,Osmaniye,37.262,36.4542
18156,K. Maras,37.5908,36.3642
18157,K. Maras,37.4736,37.2386
18279,K. Maras,37.7472,37.3722
18280,K. Maras,38.0494,37.1872
18281,K. Maras,37.9564,37.4472
18282,K. Maras,37.3835,36.8427
17320,Mersin,36.0686,32.8649
17826,Isparta,38.1047,30.5577
17828,Isparta,38.283,31.1778
17863,Isparta,38.063,31.3558
17864,Isparta,38.086,30.4582
17893,Isparta,37.4939,30.9721
18060,Mersin,37.1756,34.605
18061,Mersin,36.1442,33.3228
18115,Isparta,37.7181,31.4056
18284,Mersin,36.1372,33.1297
17304,Antalya,36.84,30.61
17926,Antalya,37.0565,30.191
17951,Antalya,36.3646,30.2978
17954,Antalya,36.7895,31.441
17960,Adana,37.0153,35.7955
18258,Adana,37.5461,35.3929
18268,Adana,37.0578,35.2614
8713,Antalya,36.6,30.5666
8364,Antalya,36.9166,31.1
19374,Antalya,36.936031,30.700814
17907,Osmaniye,37.3575,36.0907
18289,Osmaniye,37.1333,36.5667
18290,Osmaniye,37.0743,36.1464
19184,Osmaniye,37.465682,36.023805
17370,Hatay,36.5924,36.1582
17962,Hatay,36.8244,36.1981
18057,Hatay,36.4889,36.2172
18058,Hatay,36.12,36.245
18274,Hatay,36.9569,36.2086
18275,Hatay,36.7975,36.5394
18276,Hatay,36.4917,36.3444
18277,Hatay,36.3639,36.4497
18858,Hatay,36.4506,35.9503
19363,Hatay,36.17166,36.11349
17330,Mersin,36.3824,33.9373
17868,K. Maras,38.2405,36.919
17956,Mersin,36.6514,33.4339
17958,Mersin,36.6268,34.338
17978,Mersin,36.8942,34.9597
18287,Mersin,37.0581,34.3628
8895,Mersin,36.3333,33.4
18866,K. Maras,37.5419,37.1164
18867,K. Maras,37.8883,36.6172
18989,Mersin,36.785843,34.460015
17908,Adana,37.4337,35.8188
17934,Adana,37.4758,34.9022
17936,Adana,37.2506,35.0628
17981,Adana,36.5683,35.3894
18053,Adana,38.26,36.2195
18055,Adana,37.2425,35.6444
18056,Adana,37.9811,36.0853
18269,Adana,37.7764,35.9
18270,Adana,37.0397,35.3669
19272,Adana,36.981459,35.243096
17891,Burdur,37.1427,29.526
17892,Burdur,37.3161,29.7792
17979,Adana,36.7687,35.7903
18054,Adana,36.8539,35.3467
18112,Burdur,37.6364,30.5197
18113,Burdur,37.5006,29.7408
18309,Burdur,37.1558,29.7158
18311,Burdur,37.5642,30.4425
18312,Burdur,37.4074,29.8399
7538,Burdur,37.4666,30.5833
17865,Isparta,37.7999,31.066
17882,Isparta,37.8377,30.872
17885,Isparta,37.9549,30.6396
17986,Hatay,36.0814,35.9492
18114,Isparta,38.1242,30.9986
18278,Hatay,35.9081,36.0644
18315,Isparta,37.9264,30.4869
18316,Isparta,37.9297,30.2936
8949,Hatay,36.2666,36.5666
19378,Hatay,36.755368,36.234816
